"代码","简称","时间","市盈率TTM","收盘价(元)","PE市盈率","PB市净率"
"002616.SZ","长青集团","2011-09-23","37.6103","17.2000","37.6103","7.3510"
"002616.SZ","长青集团","2011-09-30","34.5271","15.7900","34.5271","6.7484"
"002616.SZ","长青集团","2011-10-14","36.2327","16.5700","36.2327","7.0818"
"002616.SZ","长青集团","2011-10-21","38.7036","17.7000","38.7036","7.5647"
"002616.SZ","长青集团","2011-10-28","41.6458","23.0800","50.4677","9.8640"
"002616.SZ","长青集团","2011-11-04","41.2849","22.8800","50.0304","9.7785"
"002616.SZ","长青集团","2011-11-11","38.6144","21.4000","46.7942","9.1460"
"002616.SZ","长青集团","2011-11-18","39.3542","21.8100","47.6907","9.3212"
"002616.SZ","长青集团","2011-11-25","40.0579","22.2000","48.5435","9.4879"
"002616.SZ","长青集团","2011-12-02","35.4567","19.6500","42.9675","8.3981"
"002616.SZ","长青集团","2011-12-09","35.9980","19.9500","43.6235","8.5263"
"002616.SZ","长青集团","2011-12-16","33.5981","18.6200","40.7153","7.9579"
"002616.SZ","长青集团","2011-12-23","32.0283","17.7500","38.8129","7.5861"
"002616.SZ","长青集团","2011-12-30","28.6901","15.9000","34.7676","6.7954"
"002616.SZ","长青集团","2012-01-06","25.7489","14.2700","26.3919","2.0319"
"002616.SZ","长青集团","2012-01-13","25.7850","14.2900","26.4289","2.0347"
"002616.SZ","长青集团","2012-01-20","26.4346","14.6500","27.0947","2.0860"
"002616.SZ","长青集团","2012-02-03","27.4090","15.1900","28.0934","2.1629"
"002616.SZ","长青集团","2012-02-10","28.4736","15.7800","29.1846","2.2469"
"002616.SZ","长青集团","2012-02-17","28.4375","15.7600","29.1476","2.2441"
"002616.SZ","长青集团","2012-02-24","31.3967","17.4000","32.1807","2.4776"
"002616.SZ","长青集团","2012-03-02","31.3426","17.3700","32.1253","2.4733"
"002616.SZ","长青集团","2012-03-09","31.7576","17.6000","32.5506","2.5061"
"002616.SZ","长青集团","2012-03-16","29.9532","16.6000","30.7012","2.3637"
"002616.SZ","长青集团","2012-03-23","29.9532","16.6000","30.7012","2.3637"
"002616.SZ","长青集团","2012-03-30","26.0960","14.1100","26.0960","2.0091"
"002616.SZ","长青集团","2012-04-06","27.1132","14.6600","27.1132","2.0874"
"002616.SZ","长青集团","2012-04-13","27.8900","15.0800","27.8900","2.1472"
"002616.SZ","长青集团","2012-04-20","28.4448","15.3800","28.4448","2.1900"
"002616.SZ","长青集团","2012-04-27","25.3985","13.8500","25.6151","1.9721"
"002616.SZ","长青集团","2012-05-04","27.4157","14.9500","27.6495","2.1287"
"002616.SZ","长青集团","2012-05-11","27.5074","15.0000","27.7420","2.1358"
"002616.SZ","长青集团","2012-05-18","26.2237","14.3000","26.4474","2.0362"
"002616.SZ","长青集团","2012-05-25","26.0954","14.2300","26.3179","2.0262"
"002616.SZ","长青集团","2012-06-01","27.7642","15.1400","28.0009","2.1558"
"002616.SZ","长青集团","2012-06-08","33.1739","18.1877","33.4569","2.5758"
"002616.SZ","长青集团","2012-06-15","31.0650","17.0315","31.3300","2.4121"
"002616.SZ","长青集团","2012-06-21","29.5796","16.2171","29.8319","2.2967"
"002616.SZ","长青集团","2012-06-29","29.1762","15.9960","29.4250","2.2654"
"002616.SZ","长青集团","2012-07-06","30.0381","16.4685","30.2943","2.3323"
"002616.SZ","长青集团","2012-07-13","25.6919","14.0857","25.9110","1.9949"
"002616.SZ","长青集团","2012-07-20","24.0965","13.2110","24.3020","1.8710"
"002616.SZ","长青集团","2012-07-27","23.7481","13.0200","23.9506","1.8439"
"002616.SZ","长青集团","2012-08-03","22.2260","12.1855","22.4155","1.7258"
"002616.SZ","长青集团","2012-08-10","23.3813","12.8189","23.5807","1.8155"
"002616.SZ","长青集团","2012-08-17","22.2077","12.1754","22.3971","1.7243"
"002616.SZ","长青集团","2012-08-24","23.6197","12.9496","23.8211","1.8340"
"002616.SZ","长青集团","2012-08-31","26.9970","12.5273","23.0444","1.7742"
"002616.SZ","长青集团","2012-09-07","29.9654","13.9047","25.5781","1.9692"
"002616.SZ","长青集团","2012-09-14","28.4271","13.1909","24.2650","1.8682"
"002616.SZ","长青集团","2012-09-21","26.6720","12.3765","22.7669","1.7528"
"002616.SZ","长青集团","2012-09-28","26.5204","12.3061","22.6375","1.7428"
"002616.SZ","长青集团","2012-10-12","26.4554","12.2760","22.5820","1.7386"
"002616.SZ","长青集团","2012-10-19","29.5754","13.7237","25.2452","1.9436"
"002616.SZ","长青集团","2012-10-26","30.2429","12.7887","23.5252","1.8112"
"002616.SZ","长青集团","2012-11-02","31.2653","13.2210","24.3205","1.8724"
"002616.SZ","长青集团","2012-11-09","29.4821","12.4670","22.9334","1.7656"
"002616.SZ","长青集团","2012-11-16","31.8121","13.4523","24.7459","1.9052"
"002616.SZ","长青集团","2012-11-23","30.9086","13.0702","24.0431","1.8511"
"002616.SZ","长青集团","2012-11-30","26.5101","11.2102","20.6216","1.5876"
"002616.SZ","长青集团","2012-12-07","27.9366","11.8135","21.7312","1.6731"
"002616.SZ","长青集团","2012-12-14","31.5981","13.3618","24.5794","1.8924"
"002616.SZ","长青集团","2012-12-21","31.1226","13.1607","24.2095","1.8639"
"002616.SZ","长青集团","2012-12-28","31.5268","13.3316","24.5239","1.8881"
"002616.SZ","长青集团","2013-01-04","31.7645","13.4322","32.9457","1.8329"
"002616.SZ","长青集团","2013-01-11","31.9548","13.5126","33.1429","1.8439"
"002616.SZ","长青集团","2013-01-18","34.3799","14.5381","35.6583","1.9839"
"002616.SZ","长青集团","2013-01-25","31.8597","13.4724","33.0443","1.8384"
"002616.SZ","长青集团","2013-02-01","32.9058","13.9148","34.1293","1.8988"
"002616.SZ","长青集团","2013-02-08","33.2624","14.0656","34.4992","1.9194"
"002616.SZ","长青集团","2013-02-22","33.7142","14.2566","34.9678","1.9454"
"002616.SZ","长青集团","2013-03-01","37.4232","15.8250","38.8147","2.1595"
"002616.SZ","长青集团","2013-03-08","36.1155","15.2721","37.4584","2.0840"
"002616.SZ","长青集团","2013-03-15","34.2135","14.4677","35.4856","1.9742"
"002616.SZ","长青集团","2013-03-22","36.6624","15.5033","38.0256","2.1156"
"002616.SZ","长青集团","2013-03-29","38.0256","15.5033","38.0256","2.1156"
"002616.SZ","长青集团","2013-04-03","38.0256","15.5033","38.0256","2.1156"
"002616.SZ","长青集团","2013-04-12","38.0256","15.5033","38.0256","2.1156"
"002616.SZ","长青集团","2013-04-19","38.0256","15.5033","38.0256","2.1156"
"002616.SZ","长青集团","2013-04-26","40.6465","15.5033","38.0256","2.1156"
"002616.SZ","长青集团","2013-05-03","40.6465","15.5033","38.0256","2.1156"
"002616.SZ","长青集团","2013-05-10","40.6465","15.5033","38.0256","2.1156"
"002616.SZ","长青集团","2013-05-17","40.6465","15.5033","38.0256","2.1156"
"002616.SZ","长青集团","2013-05-24","40.6465","15.5033","38.0256","2.1156"
