"代码","简称","时间","市盈率TTM","收盘价(元)","PE市盈率","PB市净率"
"002408.SZ","齐翔腾达","2010-05-21","30.6948","26.6900","39.9251","14.4199"
"002408.SZ","齐翔腾达","2010-05-28","33.2824","28.9400","43.2908","15.6356"
"002408.SZ","齐翔腾达","2010-06-04","29.9932","26.0800","39.0126","14.0904"
"002408.SZ","齐翔腾达","2010-06-11","32.1323","27.9400","41.7949","15.0953"
"002408.SZ","齐翔腾达","2010-06-18","29.6712","25.8000","38.5937","13.9391"
"002408.SZ","齐翔腾达","2010-06-25","29.7977","25.9100","38.7583","13.9985"
"002408.SZ","齐翔腾达","2010-07-02","29.5447","25.6900","38.4292","13.8797"
"002408.SZ","齐翔腾达","2010-07-09","30.6833","26.6800","39.9101","14.4145"
"002408.SZ","齐翔腾达","2010-07-16","29.9587","26.0500","38.9677","14.0742"
"002408.SZ","齐翔腾达","2010-07-23","31.4883","27.3800","40.9572","14.7927"
"002408.SZ","齐翔腾达","2010-07-30","30.5610","27.9100","41.7500","15.0791"
"002408.SZ","齐翔腾达","2010-08-06","30.9223","28.2400","42.2437","15.2574"
"002408.SZ","齐翔腾达","2010-08-13","30.8347","28.1600","42.1240","15.2142"
"002408.SZ","齐翔腾达","2010-08-20","30.5610","27.9100","41.7500","15.0791"
"002408.SZ","齐翔腾达","2010-08-27","34.7657","31.7500","47.4942","17.1537"
"002408.SZ","齐翔腾达","2010-09-03","36.3206","33.1700","49.6184","17.9209"
"002408.SZ","齐翔腾达","2010-09-10","39.0581","35.6700","53.3581","19.2716"
"002408.SZ","齐翔腾达","2010-09-17","37.2513","34.0200","50.8899","18.3802"
"002408.SZ","齐翔腾达","2010-09-21","38.5215","35.1800","52.6251","19.0069"
"002408.SZ","齐翔腾达","2010-09-30","38.2368","34.9200","52.2362","18.8664"
"002408.SZ","齐翔腾达","2010-10-08","40.6129","37.0900","55.4822","20.0388"
"002408.SZ","齐翔腾达","2010-10-15","39.7698","36.3200","54.3304","19.6228"
"002408.SZ","齐翔腾达","2010-10-22","32.7462","38.9000","58.1898","21.0167"
"002408.SZ","齐翔腾达","2010-10-29","35.6336","42.3300","63.3207","22.8699"
"002408.SZ","齐翔腾达","2010-11-05","37.1741","44.1600","66.0581","23.8586"
"002408.SZ","齐翔腾达","2010-11-12","35.9030","42.6500","63.7993","23.0427"
"002408.SZ","齐翔腾达","2010-11-19","37.7718","44.8700","67.1202","24.2422"
"002408.SZ","齐翔腾达","2010-11-26","38.8493","46.1500","69.0349","24.9337"
"002408.SZ","齐翔腾达","2010-12-03","37.7886","44.8900","67.1501","24.2530"
"002408.SZ","齐翔腾达","2010-12-10","35.9871","42.7500","63.9489","23.0968"
"002408.SZ","齐翔腾达","2010-12-17","35.9114","42.6600","63.8143","23.0481"
"002408.SZ","齐翔腾达","2010-12-24","32.6620","38.8000","58.0402","20.9627"
"002408.SZ","齐翔腾达","2010-12-31","33.9836","40.3700","24.9492","4.0248"
"002408.SZ","齐翔腾达","2011-01-07","34.2025","40.6300","25.1099","4.0508"
"002408.SZ","齐翔腾达","2011-01-14","34.2614","40.7000","25.1532","4.0578"
"002408.SZ","齐翔腾达","2011-01-21","37.4687","44.5100","27.5078","4.4376"
"002408.SZ","齐翔腾达","2011-01-28","35.0611","41.6500","25.7403","4.1525"
"002408.SZ","齐翔腾达","2011-02-01","35.0191","41.6000","25.7094","4.1475"
"002408.SZ","齐翔腾达","2011-02-11","35.7935","42.5200","26.2780","4.2392"
"002408.SZ","齐翔腾达","2011-02-18","36.1639","42.9600","26.5499","4.2831"
"002408.SZ","齐翔腾达","2011-02-25","38.8914","46.2000","28.5522","4.6061"
"002408.SZ","齐翔腾达","2011-03-04","37.3088","44.3200","27.3904","4.4187"
"002408.SZ","齐翔腾达","2011-03-11","39.1860","46.5500","28.7686","4.6410"
"002408.SZ","齐翔腾达","2011-03-18","45.1712","53.6600","33.1626","5.3498"
"002408.SZ","齐翔腾达","2011-03-25","48.0502","57.0800","35.2762","5.6908"
"002408.SZ","齐翔腾达","2011-04-01","34.4234","55.7000","34.4234","5.5532"
"002408.SZ","齐翔腾达","2011-04-08","39.4108","63.7700","39.4108","6.3578"
"002408.SZ","齐翔腾达","2011-04-15","45.5971","73.7800","45.5971","7.3558"
"002408.SZ","齐翔腾达","2011-04-22","37.8002","70.9000","43.8172","7.0687"
"002408.SZ","齐翔腾达","2011-04-29","34.6653","65.0200","40.1833","6.4824"
"002408.SZ","齐翔腾达","2011-05-06","33.5883","63.4852","38.9349","6.2810"
"002408.SZ","齐翔腾达","2011-05-13","30.5174","57.6808","35.3751","5.7068"
"002408.SZ","齐翔腾达","2011-05-20","30.1431","56.9734","34.9413","5.6368"
"002408.SZ","齐翔腾达","2011-05-27","26.6883","50.4435","30.9365","4.9907"
