"代码","简称","时间","市盈率TTM","收盘价(元)","PE市盈率","PB市净率"
"300100.SZ","双林股份","2010-08-06","38.4073","37.1500","67.1142","15.1165"
"300100.SZ","双林股份","2010-08-13","38.7277","37.4600","67.6742","15.2426"
"300100.SZ","双林股份","2010-08-20","39.3894","38.1000","68.8305","15.5031"
"300100.SZ","双林股份","2010-08-27","38.2522","37.0000","66.8432","15.0555"
"300100.SZ","双林股份","2010-09-03","40.8988","39.5600","71.4680","16.0971"
"300100.SZ","双林股份","2010-09-10","39.1930","37.9100","68.4872","15.4258"
"300100.SZ","双林股份","2010-09-17","38.6554","37.3900","67.5478","15.2142"
"300100.SZ","双林股份","2010-09-21","36.4119","35.2200","63.6275","14.3312"
"300100.SZ","双林股份","2010-09-30","37.0012","35.7900","64.6573","14.5631"
"300100.SZ","双林股份","2010-10-08","37.7353","36.5000","65.9399","14.8520"
"300100.SZ","双林股份","2010-10-15","36.5773","35.3800","63.9166","14.3963"
"300100.SZ","双林股份","2010-10-22","39.0999","37.8200","68.3246","15.3891"
"300100.SZ","双林股份","2010-10-29","37.6524","38.8600","70.2034","15.8123"
"300100.SZ","双林股份","2010-11-05","36.6738","37.8500","68.3788","15.4013"
"300100.SZ","双林股份","2010-11-12","36.9063","38.0900","68.8124","15.4990"
"300100.SZ","双林股份","2010-11-19","39.8712","41.1500","74.3405","16.7441"
"300100.SZ","双林股份","2010-11-26","40.4041","41.7000","75.3341","16.9679"
"300100.SZ","双林股份","2010-12-03","39.7162","40.9900","74.0514","16.6790"
"300100.SZ","双林股份","2010-12-10","38.4566","39.6900","71.7029","16.1500"
"300100.SZ","双林股份","2010-12-17","40.7432","42.0500","75.9664","17.1103"
"300100.SZ","双林股份","2010-12-24","38.0787","39.3000","70.9983","15.9913"
"300100.SZ","双林股份","2010-12-31","38.2144","39.4400","35.4128","4.6238"
"300100.SZ","双林股份","2011-01-07","37.3811","38.5800","34.6406","4.5230"
"300100.SZ","双林股份","2011-01-14","36.0924","37.2500","33.4464","4.3671"
"300100.SZ","双林股份","2011-01-21","33.9123","35.0000","31.4261","4.1033"
"300100.SZ","双林股份","2011-01-28","34.6972","35.8100","32.1534","4.1982"
"300100.SZ","双林股份","2011-02-01","34.7553","35.8700","32.2073","4.2053"
"300100.SZ","双林股份","2011-02-11","35.3948","36.5300","32.7999","4.2826"
